query,style,event,budget
recommend boho outfit for date night in blue below 2500,boho,date_night,low
find green kurta for daily wear with a low budget and athleisure look,athleisure,daily_wear,low
need a formal blazer suitable for daily wear and budget friendly,formal,daily_wear,low
show me navy saree in casual style for daily wear mid range,casual,daily_wear,mid
find green kurta for beach with a high budget and casual look,casual,beach,high
find pink heels for gym with a low budget and athleisure look,athleisure,gym,low
find green dress for wedding with a mid budget and formal look,formal,wedding,mid
need a ethnic heels suitable for wedding and below 2500,ethnic,wedding,low
"looking for minimal wear for daily wear, below 2500",minimal,daily_wear,low
show me navy jeans in formal style for travel premium,formal,travel,high
show me blue kurta in minimal style for gym under 15000,minimal,gym,high
find beige jacket for office with a low budget and athleisure look,athleisure,office,low
"looking for smart casual wear for gym, cheap",smart_casual,gym,low
"looking for casual wear for date night, mid range",casual,date_night,mid
find pink shirt for party with a low budget and formal look,formal,party,low
show me red jeans in minimal style for wedding quality for price,minimal,wedding,mid
find pink heels for party with a mid budget and formal look,formal,party,mid
show me navy kurta in boho style for daily wear affordable,boho,daily_wear,low
need a minimal sneakers suitable for beach and under 15000,minimal,beach,high
"looking for streetwear wear for office, under 3000",streetwear,office,low
find pink kurta for date night with a low budget and minimal look,minimal,date_night,low
find white shirt for date night with a mid budget and formal look,formal,date_night,mid
need a casual shirt suitable for travel and high end,casual,travel,high
"looking for athleisure wear for party, below 2500",athleisure,party,low
need a smart casual jeans suitable for office and cheap,smart_casual,office,low
find pink jeans for date night with a mid budget and casual look,casual,date_night,mid
find beige saree for beach with a high budget and ethnic look,ethnic,beach,high
recommend athleisure outfit for daily wear in blue cheap,athleisure,daily_wear,low
find red kurta for travel with a low budget and formal look,formal,travel,low
need a ethnic jeans suitable for office and around 6000,ethnic,office,mid
show me pink sneakers in athleisure style for office cheap,athleisure,office,low
show me blue kurta in ethnic style for beach cheap,ethnic,beach,low
"looking for streetwear wear for wedding, high end",streetwear,wedding,high
find green dress for party with a mid budget and formal look,formal,party,mid
need a minimal jacket suitable for gym and quality for price,minimal,gym,mid
recommend minimal outfit for office in blue under 15000,minimal,office,high
find beige jacket for wedding with a mid budget and minimal look,minimal,wedding,mid
recommend boho outfit for wedding in white around 6000,boho,wedding,mid
need a athleisure heels suitable for daily wear and quality for price,athleisure,daily_wear,mid
show me red shirt in streetwear style for daily wear budget friendly,streetwear,daily_wear,low
recommend smart casual outfit for office in white under 15000,smart_casual,office,high
find red dress for beach with a mid budget and casual look,casual,beach,mid
"looking for formal wear for party, around 6000",formal,party,mid
"looking for formal wear for date night, luxury",formal,date_night,high
need a minimal sneakers suitable for gym and quality for price,minimal,gym,mid
"looking for minimal wear for travel, luxury",minimal,travel,high
"looking for smart casual wear for wedding, designer",smart_casual,wedding,high
"looking for boho wear for wedding, budget friendly",boho,wedding,low
find black heels for date night with a high budget and athleisure look,athleisure,date_night,high
"looking for casual wear for beach, budget friendly",casual,beach,low
need a athleisure shirt suitable for gym and under 3000,athleisure,gym,low
show me white kurta in ethnic style for gym under 7000,ethnic,gym,mid
find beige dress for date night with a high budget and athleisure look,athleisure,date_night,high
show me red shirt in smart casual style for wedding under 15000,smart_casual,wedding,high
find black jeans for travel with a high budget and casual look,casual,travel,high
find blue kurta for party with a mid budget and streetwear look,streetwear,party,mid
show me navy jacket in formal style for office luxury,formal,office,high
recommend formal outfit for date night in white cheap,formal,date_night,low
find black dress for date night with a high budget and formal look,formal,date_night,high
show me beige jeans in boho style for beach quality for price,boho,beach,mid
find navy kurta for party with a mid budget and casual look,casual,party,mid
recommend casual outfit for wedding in beige budget friendly,casual,wedding,low
"looking for casual wear for beach, high end",casual,beach,high
"looking for casual wear for office, high end",casual,office,high
recommend minimal outfit for wedding in beige budget friendly,minimal,wedding,low
show me red blazer in streetwear style for party around 6000,streetwear,party,mid
"looking for boho wear for travel, budget friendly",boho,travel,low
show me red dress in streetwear style for party under 15000,streetwear,party,high
show me pink jacket in streetwear style for wedding affordable,streetwear,wedding,low
need a minimal sneakers suitable for daily wear and under 15000,minimal,daily_wear,high
show me navy dress in casual style for beach affordable,casual,beach,low
need a smart casual jacket suitable for date night and mid range,smart_casual,date_night,mid
find red jeans for travel with a high budget and streetwear look,streetwear,travel,high
"looking for minimal wear for party, under 7000",minimal,party,mid
find white saree for party with a low budget and casual look,casual,party,low
show me black heels in streetwear style for daily wear under 15000,streetwear,daily_wear,high
show me beige jeans in ethnic style for office under 3000,ethnic,office,low
find green jacket for party with a high budget and athleisure look,athleisure,party,high
need a streetwear heels suitable for date night and under 3000,streetwear,date_night,low
need a minimal dress suitable for wedding and quality for price,minimal,wedding,mid
"looking for boho wear for wedding, around 6000",boho,wedding,mid
show me green blazer in smart casual style for office under 3000,smart_casual,office,low
"looking for smart casual wear for gym, below 2500",smart_casual,gym,low
find beige saree for travel with a low budget and streetwear look,streetwear,travel,low
show me white heels in ethnic style for date night quality for price,ethnic,date_night,mid
recommend streetwear outfit for office in blue affordable,streetwear,office,low
"looking for minimal wear for wedding, luxury",minimal,wedding,high
need a minimal blazer suitable for party and below 2500,minimal,party,low
